"country","continent","term","estimate","std.error","statistic","p.value"
"Afghanistan","Asia","(Intercept)",29.9072948717949,0.663999539495009,45.0411379720839,7.00195141003726e-13
"Afghanistan","Asia","I(year - 1952)",0.275328671328671,0.0204509335898207,13.4628900983627,9.83521290305262e-08
"Albania","Europe","(Intercept)",59.2291282051282,1.07684403179424,55.0025133226031,9.56547054021611e-14
"Albania","Europe","I(year - 1952)",0.334683216783216,0.033166387129677,10.0910363095818,1.46276319026075e-06
"Algeria","Africa","(Intercept)",43.3749743589744,0.718420236072586,60.3754908075723,3.77607470991385e-14
"Algeria","Africa","I(year - 1952)",0.56927972027972,0.0221270703721839,25.7277493452258,1.80814336319391e-10
"Angola","Africa","(Intercept)",32.1266538461539,0.764035492705228,42.0486406101406,1.38788764029736e-12
"Angola","Africa","I(year - 1952)",0.20933986013986,0.0235320029490744,8.89596438488014,4.59349840616498e-06
"Argentina","Americas","(Intercept)",62.6884358974359,0.158728937803766,394.940183969079,2.66477000620906e-22
"Argentina","Americas","I(year - 1952)",0.231708391608391,0.00488879098963894,47.3958473781069,4.21556744714119e-13
"Australia","Oceania","(Intercept)",68.4005128205128,0.33700348729615,202.966780460655,2.07189539998203e-19
"Australia","Oceania","I(year - 1952)",0.227723776223776,0.0103795793946983,21.9395957739957,8.667221611503e-10
"Austria","Europe","(Intercept)",66.4484615384616,0.221231845219562,300.356675470995,4.11630044699774e-21
"Austria","Europe","I(year - 1952)",0.241992307692307,0.00681385679571359,35.5147334244737,7.43523965862184e-12
"Bahrain","Asia","(Intercept)",52.7492051282051,0.890329904800453,59.2468082266962,4.5581464373523e-14
"Bahrain","Asia","I(year - 1952)",0.467507692307692,0.0274218228674575,17.0487459775149,1.01585466423227e-08
"Bangladesh","Asia","(Intercept)",36.1354871794872,0.530363621015227,68.1334196910344,1.1303563068906e-14
"Bangladesh","Asia","I(year - 1952)",0.498130769230769,0.0163349980635352,30.4946941097441,3.36950099089235e-11
"Belgium","Europe","(Intercept)",67.8919230769231,0.159052196876879,426.853098605596,1.2251999102873e-22
"Belgium","Europe","I(year - 1952)",0.209084615384615,0.00489874724629774,42.6812417282054,1.19628011775419e-12
"Benin","Africa","(Intercept)",39.5885128205128,0.637881859751381,62.0624528120971,2.86846806338235e-14
"Benin","Africa","I(year - 1952)",0.334232867132867,0.0196465189747694,17.0123199719044,1.0371382348889e-08
"Bolivia","Americas","(Intercept)",38.7564487179487,0.643178424370859,60.2576940541177,3.85035637081704e-14
"Bolivia","Americas","I(year - 1952)",0.499932167832167,0.0198096511530982,25.2367981631004,2.18647531760797e-10
"Bosnia and Herzegovina","Europe","(Intercept)",58.0895641025641,1.22541651246341,47.4039345085932,4.20841035710484e-13
"Bosnia and Herzegovina","Europe","I(year - 1952)",0.349755244755244,0.0377423630975986,9.2669143119313,3.17939497468637e-06
"Botswana","Africa","(Intercept)",52.9291153846154,3.31904058114134,15.9471130559104,1.9386111418546e-08
"Botswana","Africa","I(year - 1952)",0.0606685314685308,0.102225189129595,0.593479278298216,0.566041352585499
"Brazil","Americas","(Intercept)",51.5120384615385,0.177152918887192,290.777249311599,5.69194818589178e-21
"Brazil","Americas","I(year - 1952)",0.39008951048951,0.00545624260848165,71.494165212361,6.99043321717699e-15
"Bulgaria","Europe","(Intercept)",65.7373076923078,1.36250296692515,48.2474602170311,3.53039350319455e-13
"Bulgaria","Europe","I(year - 1952)",0.14568881118881,0.0419645738214089,3.47170953787894,0.00600390231654286
"Burkina Faso","Africa","(Intercept)",34.6846923076923,1.11161364684703,31.2021109187276,2.68483973895909e-11
"Burkina Faso","Africa","I(year - 1952)",0.363974825174825,0.0342372780657296,10.6309509907901,9.04750585098712e-07
"Burundi","Africa","(Intercept)",40.578641025641,0.874686171588846,46.3922288286906,5.21699938303137e-13
"Burundi","Africa","I(year - 1952)",0.154134265734266,0.0269400018269628,5.72139032225309,0.000192567696716677
"Cambodia","Asia","(Intercept)",37.0154230769231,3.05728592073072,12.1072820915867,2.68671629715222e-07
"Cambodia","Asia","I(year - 1952)",0.395902797202797,0.094163245018979,4.20443026494043,0.00181588898478294
"Cameroon","Africa","(Intercept)",41.2494615384616,1.761133052294,23.422115373243,4.55909265968745e-10
"Cameroon","Africa","I(year - 1952)",0.250146853146853,0.0542422290272891,4.61166249309195,0.000962781708619343
"Canada","Americas","(Intercept)",68.8838461538462,0.13534705463082,508.942335994953,2.11026963508967e-23
"Canada","Americas","I(year - 1952)",0.21886923076923,0.00416863786974591,52.5037764392259,1.52050301139801e-13
"Central African Republic","Africa","(Intercept)",38.8095128205128,1.9138932425616,20.2777835029969,1.87525063110337e-09
"Central African Republic","Africa","I(year - 1952)",0.183905594405594,0.0589471848601005,3.11983676306269,0.010876998153315
"Chad","Africa","(Intercept)",39.8093717948718,0.994510082641307,40.0291284017379,2.26440842613315e-12
"Chad","Africa","I(year - 1952)",0.253244055944055,0.030630532771111,8.2677000049735,8.81561566393022e-06
"Chile","Americas","(Intercept)",54.3177051282052,0.647738780336758,83.8574233581714,1.4218598928771e-15
"Chile","Americas","I(year - 1952)",0.476844055944055,0.0199501083845527,23.9018278373502,3.73461002179496e-10
"China","Asia","(Intercept)",47.1904815384616,2.0944267502237,22.5314547445601,6.67383968705925e-10
"China","Asia","I(year - 1952)",0.530714853146853,0.0645075483187002,8.22717444669964,9.20621673170666e-06
"Colombia","Americas","(Intercept)",53.4271153846154,0.712225870839358,75.0142862988837,4.3263985220656e-15
"Colombia","Americas","I(year - 1952)",0.38075034965035,0.0219362862759898,17.3571016014272,8.53724285659653e-09
"Comoros","Africa","(Intercept)",39.996,0.259915279477427,153.880911043068,3.29923049322617e-18
"Comoros","Africa","I(year - 1952)",0.450390909090909,0.00800529187658044,56.2616474245657,7.63303968298643e-14
"Congo, Dem. Rep.","Africa","(Intercept)",41.9610769230769,1.31926341581419,31.8064432167859,2.22008212380118e-11
"Congo, Dem. Rep.","Africa","I(year - 1952)",0.0939153846153844,0.0406328120721517,2.31131885355655,0.0434098141522265
"Congo, Rep.","Africa","(Intercept)",47.1367820512821,1.92582410411277,24.4761616341893,2.95605413498711e-10
"Congo, Rep.","Africa","I(year - 1952)",0.195095804195804,0.0593146508638238,3.28916720160269,0.00816150229186549
"Costa Rica","Americas","(Intercept)",59.1047051282051,0.824766773588479,71.6623256669839,6.82840581786245e-15
"Costa Rica","Americas","I(year - 1952)",0.40278951048951,0.025402503330916,15.8562920056503,2.04847037076922e-08
"Cote d'Ivoire","Africa","(Intercept)",44.845858974359,2.13167799703297,21.0378204573012,1.30801726773788e-09
"Cote d'Ivoire","Africa","I(year - 1952)",0.130556643356643,0.0656548725701804,1.98852938473207,0.0748035022044142
"Croatia","Europe","(Intercept)",63.8557820512821,0.62314667632497,102.473116647069,1.91913898379817e-16
"Croatia","Europe","I(year - 1952)",0.22545944055944,0.0191926809225374,11.747157235063,3.56825849711675e-07
"Cuba","Americas","(Intercept)",62.2134487179487,0.945205146899524,65.8200486127506,1.59561904440854e-14
"Cuba","Americas","I(year - 1952)",0.321150349650349,0.0291119594792192,11.0315607535657,6.41895247525558e-07
"Czech Republic","Europe","(Intercept)",67.528076923077,0.448259671107735,150.644997253941,4.08015368880526e-18
"Czech Republic","Europe","I(year - 1952)",0.144815384615384,0.0138062275943613,10.4891349664936,1.02435059876382e-06
"Denmark","Europe","(Intercept)",71.0335897435898,0.216550287981593,328.023529341266,1.70555460719659e-21
"Denmark","Europe","I(year - 1952)",0.12133006993007,0.00666966661111879,18.1913245450386,5.40987875833765e-09
"Djibouti","Africa","(Intercept)",36.2771538461539,0.611784668361338,59.2972588595952,4.51961355980958e-14
"Djibouti","Africa","I(year - 1952)",0.367403496503496,0.0188427353932258,19.4984161713369,2.75055194310775e-09
"Dominican Republic","Americas","(Intercept)",48.5978076923077,0.841802355960062,57.7306624865437,5.90298330900856e-14
"Dominican Republic","Americas","I(year - 1952)",0.471152447552447,0.0259271927968306,18.1721349952719,5.46572520875576e-09
"Ecuador","Americas","(Intercept)",49.0653717948718,0.379492718219358,129.291998078631,1.8801552419138e-17
"Ecuador","Americas","I(year - 1952)",0.500053146853146,0.0116882315671892,42.7826180529208,1.16837219605924e-12
"Egypt","Africa","(Intercept)",40.968,0.564299573062493,72.5997359481665,5.99759525849966e-15
"Egypt","Africa","I(year - 1952)",0.555454545454545,0.0173802124956925,31.9590192347883,2.11724585371879e-11
"El Salvador","Americas","(Intercept)",46.5119487179487,1.05508201747849,44.0837280395569,8.67163151552395e-13
"El Salvador","Americas","I(year - 1952)",0.477141258741258,0.0324961253552629,14.6830200069986,4.29211282932107e-08
"Equatorial Guinea","Africa","(Intercept)",34.4303076923077,0.178485466153734,192.902584363099,3.44496864782447e-19
"Equatorial Guinea","Africa","I(year - 1952)",0.310170629370629,0.00549728455811022,56.4225166246907,7.4187909362817e-14
"Eritrea","Africa","(Intercept)",35.6952692307692,0.812752798241783,43.9189742662078,9.00089043073691e-13
"Eritrea","Africa","I(year - 1952)",0.37469020979021,0.0250324774538621,14.9681632783175,3.56840581674347e-08
"Ethiopia","Africa","(Intercept)",36.0281538461539,0.568776719313183,63.34322876235,2.33961156765684e-14
"Ethiopia","Africa","I(year - 1952)",0.307185314685314,0.0175181068995266,17.535303126482,7.73127242179023e-09
"Finland","Europe","(Intercept)",66.4489743589744,0.192347117850627,345.463842149054,1.01603300662421e-21
"Finland","Europe","I(year - 1952)",0.237925174825174,0.0059242181648925,40.1614471653225,2.19130983037564e-12
"France","Europe","(Intercept)",67.7901282051282,0.119490057908997,567.328607847497,7.12347500507338e-24
"France","Europe","I(year - 1952)",0.238501398601399,0.00368024839414682,64.8057883757843,1.86306757176393e-14
"Gabon","Africa","(Intercept)",38.9353461538461,2.20146529594832,17.6861048981806,7.11421661197231e-09
"Gabon","Africa","I(year - 1952)",0.446732867132867,0.0678042948673951,6.58856298124687,6.16612511147325e-05
"Gambia","Africa","(Intercept)",28.4003717948718,0.62314971041058,45.5755195266952,6.22621341266372e-13
"Gambia","Africa","I(year - 1952)",0.581825874125873,0.0191927743712217,30.3148394740827,3.57275820570526e-11
"Germany","Europe","(Intercept)",67.5681282051282,0.225939944574835,299.05348667884,4.29921657397618e-21
"Germany","Europe","I(year - 1952)",0.213683216783216,0.00695886446743907,30.70662142984,3.1461499828613e-11
"Ghana","Africa","(Intercept)",43.4927435897436,0.419913461723721,103.575492462681,1.72455046951617e-16
"Ghana","Africa","I(year - 1952)",0.321742657342657,0.0129331751129145,24.8773139259036,2.51858484828631e-10
"Greece","Europe","(Intercept)",67.0672051282051,0.422710281720737,158.659980673271,2.43016652251116e-18
"Greece","Europe","I(year - 1952)",0.242398601398601,0.0130193161064236,18.6183820576416,4.3158046876949e-09
"Guatemala","Americas","(Intercept)",42.1193974358974,0.315592364817777,133.46139555758,1.36907348102277e-17
"Guatemala","Americas","I(year - 1952)",0.531273426573426,0.00972012495558567,54.657057291031,1.01855871279508e-13
"Guinea","Africa","(Intercept)",31.5569871794872,0.649395308953846,48.5944181369657,3.28719129812769e-13
"Guinea","Africa","I(year - 1952)",0.424830769230769,0.0200011288367106,21.2403396177831,1.1908071469069e-09
"Guinea-Bissau","Africa","(Intercept)",31.7370384615385,0.349426745281856,90.826014007424,6.40599423780221e-16
"Guinea-Bissau","Africa","I(year - 1952)",0.271753146853147,0.0107622110215638,25.2506800237096,2.17465399531152e-10
"Haiti","Americas","(Intercept)",39.2461538461539,0.456553441060907,85.9617961808729,1.11007886358548e-15
"Haiti","Americas","I(year - 1952)",0.397058041958042,0.0140616725584505,28.2369000065661,7.21304814603239e-11
"Honduras","Americas","(Intercept)",42.9924102564102,0.849439318960186,50.6126915681723,2.19154671834585e-13
